[2025-06-20T15:30:23.316Z] debug: 	Importing configs...
[2025-06-20T15:30:23.468Z] info: 	Commit hash: 7a9a346bb2a08bffb965150784ca7869741804b1
[2025-06-20T15:30:23.469Z] info: 	Build date: 1744140374083
[2025-06-20T15:30:23.607Z] info: 	ModLoader: loading: 16 server mods...
[2025-06-20T15:30:23.674Z] debug: 	ModLoader: Mod MoreCheckmarksBackend is missing from order.json, adding
[2025-06-20T15:30:23.674Z] debug: 	ModLoader: Mod Skwizzy-LootingBots-ServerMod is missing from order.json, adding
[2025-06-20T15:30:23.674Z] debug: 	ModLoader: Mod Virtual's Custom Quest Loader is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod [SVM] Server Value Modifier is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod acidphantasm-bosseshavelegamedals is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod acidphantasm-brightlasers is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod acidphantasm-progressivebotsystem is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod acidphantasm-refsptfriendlyquests is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod fika-server is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod schkuromi-disableseasonalevents is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod trinagan-keycase is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod tyfon-uifixes is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod zSolarint-SAIN-ServerMod is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod zzDrakiaXYZ-LiveFleaPrices is missing from order.json, adding
[2025-06-20T15:30:23.675Z] debug: 	ModLoader: Mod zzMusicManiac-KeysInLoot is missing from order.json, adding
[2025-06-20T15:30:23.705Z] debug: 	Mod DanW-LateToTheParty hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:23.836Z] debug: 	Mod MoreCheckmarksBackend hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:23.869Z] debug: 	Mod Skwizzy-LootingBots-ServerMod hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:23.907Z] debug: 	Mod Virtual's Custom Quest Loader hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:23.942Z] debug: 	Mod acidphantasm-bosseshavelegamedals hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:23.964Z] debug: 	Mod acidphantasm-brightlasers hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:24.252Z] debug: 	Mod acidphantasm-progressivebotsystem hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:25.011Z] debug: 	Mod acidphantasm-refsptfriendlyquests hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:25.623Z] debug: 	Mod schkuromi-disableseasonalevents hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:25.645Z] debug: 	Mod trinagan-keycase hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:25.690Z] debug: 	Mod tyfon-uifixes hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:25.748Z] debug: 	Mod zSolarint-SAIN-ServerMod hash stored in ./user/cache/modCache.json
[2025-06-20T15:30:25.768Z] debug: 	Mod zzDrakiaXYZ-LiveFleaPrices hash stored in ./user/cache/modCache.json
